,code,Genus,Species,Family,Binomial
1,ACALDI,Acalypha,diversifolia,Euphorbiaceae,Acalypha diversifolia
2,ADENFL,Adenaria,floribunda,Lythraceae,Adenaria floribunda
3,AEGIPA,Aegiphila,panamensis,Verbenaceae,Aegiphila panamensis
4,ALCHCO,Alchornea,costaricensis,Euphorbiaceae,Alchornea costaricensis
5,ALCHLA,Alchornea,latifolia,Euphorbiaceae,Alchornea latifolia
6,AMAICO,Amaioua,corymbosa,Rubiaceae,Amaioua corymbosa
7,ANACOC,Anacardium,occidentale,Anacardiaceae,Anacardium occidentale
8,ANDIIN,Andira,inermis,Fabaceae:Papil.,Andira inermis
9,ANNOSP,Annona,spraguei,Annonaceae,Annona spraguei
10,APEITI,Apeiba,tibourbou,Tiliaceae,Apeiba tibourbou
11,BACCTR,NA,NA,NA,NA
12,BANAGU,Banara,guianensis,Flacourtiaceae,Banara guianensis
13,BYRSCR,Byrsonima,crassifolia,Malpighiaceae,Byrsonima crassifolia
14,CAL1WA,Calycolpus,warszewiczianus,Myrtaceae,Calycolpus warszewiczianus
15,CASEAR,Casearia,arborea,Flacourtiaceae,Casearia arborea
16,CASECO,Casearia,commersoniana,Flacourtiaceae,Casearia commersoniana
17,CASESY,Casearia,sylvestris,Flacourtiaceae,Casearia sylvestris
18,CECRIN,Cecropia,insignis,Cecropiaceae,Cecropia insignis
19,CESPMA,Cespedesia,macrophylla,Ochnaceae,Cespedesia macrophylla
20,CESTME,Cestrum,megalophyllum,Solanaceae,Cestrum megalophyllum
21,CHR2AR,Chrysophyllum,argenteum,Sapotaceae,Chrysophyllum argenteum
22,CHR4OD,NA,NA,NA,NA
23,CITRAU,Citrus,aurantium,Rutaceae,NA
24,CITRLI,Citrus,limon,Rutaceae,NA
25,CLIBSU,Clibadium,surinamense,Asteraceae,NA
26,CLIDDE,Clidemia,dentata,Melastomataceae,Clidemia dentata
27,CLIDOC,Clidemia,octona,Melastomataceae,Clidemia octona
28,COCCMA,Coccoloba,manzinellensis,Polygonaceae,Coccoloba manzinellensis
29,COCHVI,Cochlospermum,vitifolium,Cochlospermaceae,Cochlospermum vitifolium
30,COLUGL,Colubrina,glandulosa,Rhamnaceae,Colubrina glandulosa
31,CONOSP,Conostegia,speciosa,Melastomataceae,Conostegia speciosa
32,CONOXA,Conostegia,xalapensis,Melastomataceae,Conostegia xalapensis
33,CORDAL,Cordia,alliodora,Boraginaceae,Cordia alliodora
34,CORDBI,Cordia,bicolor,Boraginaceae,Cordia bicolor
35,CORDCU,Cordia,curassavica,Boraginaceae,Cordia curassavica
36,CROTBI,Croton,billbergianus,Euphorbiaceae,Croton billbergianus
37,CUPACI,Cupania,cinerea,Sapindaceae,Cupania cinerea
38,CUPARU,Cupania,rufescens,Sapindaceae,Cupania rufescens
39,CUPASC,Cupania,scrobiculata,Sapindaceae,Cupania scrobiculata
40,CURAAM,Curatella,americana,Dilleniaceae,Curatella americana
41,ERY1CO,Erythrina,costaricensis,Fabaceae:Papil.,Erythrina costaricensis
42,FICUBR,Ficus,brevibracteata,Moraceae,Ficus brevibracteata
43,FICUIN,Ficus,insipida,Moraceae,Ficus insipida
44,GMELAR,Gmelina,arborea,Verbenaceae,Gmelina arborea
45,GUATDU,Guatteria,dumetorum,Annonaceae,Guatteria dumetorum
46,GUETFO,Guettarda,foliacea,Rubiaceae,Guettarda foliacea
47,HAMEPA,Hamelia,patens,Rubiaceae,Hamelia patens
48,HENRFA,Henriettella,fascicularis,Melastomataceae,Henriettella fascicularis
49,HIRTRA,Hirtella,racemosa,Chrysobalanaceae,Hirtella racemosa
50,HYERAL,Hieronyma,alchorneoides,Euphorbiaceae,Hieronyma alchorneoides
51,INGACO,Inga,cocleensis,Fabaceae:Mimos.,Inga cocleensis
52,INGAGO,Inga,goldmanii,Fabaceae:Mimos.,Inga goldmanii
53,INGAPE,Inga,pezizifera,Fabaceae:Mimos.,Inga pezizifera
54,INGAQU,Inga,nobilis,Fabaceae:Mimos.,Inga nobilis
55,INGATH,Inga,thibaudiana,Fabaceae:Mimos.,Inga thibaudiana
56,ISERHA,Isertia,haenkeana,Rubiaceae,Isertia haenkeana
57,JAC1CO,Jacaranda,copaia,Bignoniaceae,Jacaranda copaia
58,LACIAG,Lacistema,aggregatum,Flacourtiaceae,Lacistema aggregatum
59,LANTCA,Lantana,camara,Verbenaceae,Lantana camara
60,LAXOTE,Laxoplumeria,tessmannii,Apocynaceae,NA
61,LONCLA,Lonchocarpus,latifolius,Fabaceae:Papil.,Lonchocarpus latifolius
62,LOZAPI,Lozania,pittieri,Flacourtiaceae,Lozania pittieri
63,LUEHSE,Luehea,seemannii,Tiliaceae,Luehea seemannii
64,MABEOC,Mabea,occidentalis,Euphorbiaceae,Mabea occidentalis
65,MACRGL,Macrocnemum,roseum,Rubiaceae,Macrocnemum roseum
66,MANGIN,Mangifera,indica,Anacardiaceae,Mangifera indica
67,MARGNO,Margaritaria,nobilis,Euphorbiaceae,Margaritaria nobilis
68,MATAAP,Matayba,apetala,Sapindaceae,Matayba apetala
69,MICOAF,Miconia,affinis,Melastomataceae,Miconia affinis
70,MICOAR,Miconia,argentea,Melastomataceae,Miconia argentea
71,MICOBO,Miconia,minutiflora,Melastomataceae,Miconia minutiflora
72,MICOIM,Miconia,impetiolaris,Melastomataceae,Miconia impetiolaris
73,MICOLA,Miconia,lacera,Melastomataceae,Miconia lacera
74,MICOPR,Miconia,prasina,Melastomataceae,Miconia prasina
75,MYR2FL,Myrciaria,floribunda,Myrtaceae,Myrciaria floribunda
76,MYRILO,Myriocarpa,longipes,Urticaceae,Myriocarpa longipes
77,NECTPU,Nectandra,purpurea,Lauraceae,Nectandra purpurea
78,OCHRPY,Ochroma,pyramidale,Bombacaceae,Ochroma pyramidale
79,OCOTDE,Ocotea,dendrodaphne,Lauraceae,Ocotea dendrodaphne
80,PALIGU,Palicourea,guianensis,Rubiaceae,Palicourea guianensis
