ORDER,Fixer,GENUS$,SPECIES$,Species.Name,FAMILY$,WSG,SEEDMASS,HEIGHT,LMA,RGR95SAP,RGR90SAP,RGRAVGSAP,N_RGRSAP,MRT25SAP,MRT50SAP,MRTALLSAP,N_MRTALLSAP,RGR95TRE,RGR90TRE,RGRAVGTRE,N_RGRTRE,MRT25TRE,MRT50TRE,MRTALLTRE,N_MRTALLTRE
1,n,Astronium,graveolens,Astronium graveolens,Anacardiacea,0.808,0.01766,34.8,35.1,-99,-99,-99,-99,-99,-99,-99,-99,0.037,0.028,0.0101,169,9.1,6,2.9,136
2,n,Spondias,radlkoferi,Spondias radlkoferi,Anacardiacea,0.363,0.01695,30.8,48.4,-99,-99,-99,-99,-99,-99,-99,-99,0.058,0.045,0.0186,280,10.9,8.2,5.9,221
3,n,Annona,acuminata,Annona acuminata,Annonaceae,0.645,0.027533,8.4,53,0.104,0.078,0.024,2031,22,21.6,16.5,1658,-99,-99,-99,-99,-99,-99,-99,-99
4,n,Desmopsis,panamensis,Desmopsis panamensis,Annonaceae,0.536,0.108017,10.9,57.2,0.102,0.079,0.029,46091,18.6,16.8,13.2,36989,-99,-99,-99,-99,-99,-99,-99,-99
5,n,Guatteria,dumetorum,Guatteria dumetorum,Annonaceae,0.446,0.04003,34.6,49.9,0.157,0.116,0.042,2978,33.3,30.3,21.9,2599,0.054,0.042,0.0151,1027,35.3,24.7,16.5,861
6,n,Mosannona,garwoodii,Mosannona garwoodii,Annonaceae,0.73,0.21642,13.2,67.7,0.107,0.083,0.033,1294,6.6,6.1,4.8,979,-99,-99,-99,-99,-99,-99,-99,-99
7,n,Unonopsis,pittieri,Unonopsis pittieri,Annonaceae,0.428,0.72482,22.2,50.3,0.16,0.121,0.047,1728,30.3,25,19.3,1484,0.046,0.035,0.0141,709,19.4,15.1,9.3,557
8,n,Xylopia,macrantha,Xylopia macrantha,Annonaceae,0.84,0.116775,19.8,67,0.142,0.116,0.053,3241,10.2,8,5.8,2502,0.037,0.031,0.013,574,6.7,5.7,4,424
9,n,Aspidosperma,spruceanum,Aspidosperma spruceanum,Apocynaceae,0.77,0.45395,38.6,92.7,0.088,0.065,0.025,1634,11.4,10.5,9.4,1313,0.057,0.045,0.0202,239,12.8,9.6,4.8,189
10,n,Lacmellea,panamensis,Lacmellea panamensis,Apocynaceae,0.502,0.227051,21.8,52.6,-99,-99,-99,-99,-99,-99,-99,-99,0.055,0.047,0.019,207,7.7,5.1,3.2,158
11,n,Tabernaemont,arborea,Tabernaemont arborea,Apocynaceae,0.538,0.068031,28.1,32.9,0.142,0.104,0.037,4060,19.8,17,11.8,3212,0.073,0.058,0.0232,1288,11.7,10.1,7,996
12,n,Dendropanax,arboreus,Dendropanax arboreus,Araliaceae,0.411,0.00614,24.5,65.5,-99,-99,-99,-99,-99,-99,-99,-99,0.034,0.028,0.0099,411,24.4,19.1,12.7,347
13,n,Jacaranda,copaia,Jacaranda copaia,Bignoniaceae,0.374,0.00207,31.8,48.1,-99,-99,-99,-99,-99,-99,-99,-99,0.088,0.069,0.0288,1066,18.2,10.7,6.9,860
14,n,Tabebuia,guayacan,Tabebuia guayacan,Bignoniaceae,0.79,-99,36.8,22.9,-99,-99,-99,-99,-99,-99,-99,-99,0.047,0.03,0.0123,139,0,3.7,2.8,109
15,n,Tabebuia,rosea,Tabebuia rosea,Bignoniaceae,0.489,0.018505,40.4,37.3,0.137,0.102,0.037,656,33.1,29,20.8,553,0.042,0.027,0.0092,295,23.8,16.1,10.9,238
16,n,Quararibea,asterolepis,Quararibea asterolepis,Bombacaceae,0.468,0.079973,33.5,47.8,0.104,0.081,0.031,5282,17.7,14.7,10.8,4323,0.053,0.04,0.0126,2714,15.4,10.1,6.9,2186
17,n,Cordia,alliodora,Cordia alliodora,Boraginaceae,0.455,0.005611,31.6,30.5,-99,-99,-99,-99,-99,-99,-99,-99,0.069,0.059,0.0236,260,28.8,21,11.4,211
18,n,Cordia,bicolor,Cordia bicolor,Boraginaceae,0.373,0.016216,24.8,41.8,0.26,0.181,0.066,1338,61.6,55.7,39.3,1172,0.068,0.05,0.0196,1323,18.4,13.9,9.6,1026
19,n,Cordia,lasiocalyx,Cordia lasiocalyx,Boraginaceae,-99,0.042325,13.9,60.5,0.167,0.127,0.049,2880,32.6,29.3,20.3,2400,0.026,0.019,0.0061,1620,32.4,30,20.8,1394
20,n,Protium,costaricense,Protium costaricense,Burseraceae,0.452,-99,16.4,45.9,0.156,0.112,0.041,2276,23.1,21.4,16.1,1902,0.042,0.031,0.0106,441,23,27.4,18.2,352
21,n,Protium,panamense,Protium panamense,Burseraceae,0.447,0.079495,19.2,64.7,0.113,0.086,0.03,11126,13.9,12.2,10.6,8972,0.034,0.026,0.0071,197,32.5,27.2,21.5,163
22,n,Protium,tenuifolium,Protium tenuifolium,Burseraceae,0.586,0.098637,20.5,59.9,0.127,0.099,0.037,9236,20.6,17.5,12.9,7506,0.043,0.034,0.0126,1604,13.7,10.6,8.2,1263
23,n,Tetragastris,panamensis,Tetragastris panamensis,Burseraceae,0.589,0.29475,31.3,74.8,0.111,0.086,0.03,13928,18.6,16.6,12.4,11034,0.043,0.034,0.0138,1616,9.6,7.5,5.2,1259
24,n,Trattinnicki,aspera,Trattinnicki aspera,Burseraceae,0.439,0.00637,29,54.6,-99,-99,-99,-99,-99,-99,-99,-99,0.076,0.049,0.0236,189,34.2,27.6,17.5,154
25,n,Capparis,frondosa,Capparis frondosa,Capparaceae,0.633,0.080482,7.2,72.3,0.082,0.062,0.018,13974,15.1,13.1,10.9,11576,-99,-99,-99,-99,-99,-99,-99,-99
26,n,Cecropia,insignis,Cecropia insignis,Cecropiaceae,0.551,-99,30.6,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.086,0.062,0.025,831,34.5,25.7,17.2,688
27,n,Hirtella,triandra,Hirtella triandra,Chrysobalana,0.606,0.188107,22.7,50.9,0.124,0.097,0.036,15074,17.4,14.2,10,12256,0.037,0.03,0.012,2879,13.2,9.2,5.7,2212
28,n,Licania,hypoleuca,Licania hypoleuca,Chrysobalana,0.836,0.0847,17.8,60.9,0.109,0.072,0.024,415,12.5,10.9,8.1,332,-99,-99,-99,-99,-99,-99,-99,-99
29,n,Licania,platypus,Licania platypus,Chrysobalana,0.682,4.50296,19.2,70.1,0.101,0.076,0.027,1103,21.5,20,15.1,900,-99,-99,-99,-99,-99,-99,-99,-99
30,n,Calophyllum,longifolium,Calophyllum longifolium,Clusiaceae,0.541,1.95011,36.4,85.6,0.131,0.1,0.04,3052,24.6,20.1,14.9,2233,0.049,0.041,0.0155,221,47.8,37,22.2,185
