Number,Family,Binomial,Wood_density,Region,Reference_number,our_samples,Genus,Species,
301,Fabaceae,Acosmium panamense,0.810,South America (tropical),204,y,Acosmium,panamense,
3830,Bixaceae,Cochlospermum vitifolium,0.165,Central America (tropical),196,y,Cochlospermum,vitifolium,
3831,Bixaceae,Cochlospermum vitifolium,0.270,Mexico,23,y,Cochlospermum,vitifolium,
3832,Bixaceae,Cochlospermum vitifolium,0.220,South America (tropical),44,y,Cochlospermum,vitifolium,
4780,Fabaceae,Dalbergia retusa,0.890,South America (tropical),141,y,Dalbergia,retusa,
4781,Fabaceae,Dalbergia retusa,0.860,South America (tropical),35,y,Dalbergia,retusa,
4782,Fabaceae,Dalbergia retusa,0.860,Central America (tropical),116,y,Dalbergia,retusa,
4783,Fabaceae,Dalbergia retusa,0.830,South America (tropical),204,y,Dalbergia,retusa,
7417,Fabaceae,Gliricidia sepium,0.640,Mexico,23,y,Gliricidia,sepium,
7418,Fabaceae,Gliricidia sepium,0.530,South America (tropical),204,y,Gliricidia,sepium,
7419,Fabaceae,Gliricidia sepium,0.740,South-East Asia (tropical),129,y,Gliricidia,sepium,
7420,Fabaceae,Gliricidia sepium,0.560,Africa (tropical),63,y,Gliricidia,sepium,
8430,Fabaceae,Hymenaea courbaril,0.740,South America (tropical),141,y,Hymenaea,courbaril,
8432,Fabaceae,Hymenaea courbaril,0.765,South America (tropical),36,y,Hymenaea,courbaril,
8433,Fabaceae,Hymenaea courbaril,0.960,South America (extratropical),114,y,Hymenaea,courbaril,
8434,Fabaceae,Hymenaea courbaril,0.790,Central America (tropical),116,y,Hymenaea,courbaril,
8435,Fabaceae,Hymenaea courbaril,0.700,Central America (tropical),111,y,Hymenaea,courbaril,
8436,Fabaceae,Hymenaea courbaril,0.900,South America (tropical),115,y,Hymenaea,courbaril,
8437,Fabaceae,Hymenaea courbaril,0.680,South America (tropical),64,y,Hymenaea,courbaril,
8438,Fabaceae,Hymenaea courbaril,0.710,South America (tropical),191,y,Hymenaea,courbaril,
8439,Fabaceae,Hymenaea courbaril,0.758,South America (tropical),30,y,Hymenaea,courbaril,
8440,Fabaceae,Hymenaea courbaril,0.800,South America (tropical),56,y,Hymenaea,courbaril,
8441,Fabaceae,Hymenaea courbaril,1.000,South America (tropical),56,y,Hymenaea,courbaril,
8442,Fabaceae,Hymenaea courbaril,0.770,South America (tropical),77,y,Hymenaea,courbaril,
8443,Fabaceae,Hymenaea courbaril,0.857,South America (extratropical),121,y,Hymenaea,courbaril,
8444,Fabaceae,Hymenaea courbaril,0.857,South America (extratropical),121,y,Hymenaea,courbaril,
8445,Fabaceae,Hymenaea courbaril,0.860,South America (extratropical),121,y,Hymenaea,courbaril,
8446,Fabaceae,Hymenaea courbaril,0.820,South America (tropical),190,y,Hymenaea,courbaril,
8447,Fabaceae,Hymenaea courbaril,0.710,South America (tropical),92,y,Hymenaea,courbaril,
8448,Fabaceae,Hymenaea courbaril,0.760,South America (tropical),89,y,Hymenaea,courbaril,
8449,Fabaceae,Hymenaea courbaril,0.590,South-East Asia (tropical),129,y,Hymenaea,courbaril,
11454,Malvaceae,Pachira quinata,0.450,South America (tropical),141,y,Pachira,quinata,
11455,Malvaceae,Pachira quinata,0.520,South America (tropical),35,y,Pachira,quinata,
11456,Malvaceae,Pachira quinata,0.430,Central America (tropical),116,y,Pachira,quinata,
11457,Malvaceae,Pachira quinata,0.345,Central America (tropical),196,y,Pachira,quinata,
11458,Malvaceae,Pachira quinata,0.380,South America (tropical),204,y,Pachira,quinata,
11459,Malvaceae,Pachira quinata,0.390,South America (tropical),45,y,Pachira,quinata,
