Year,Carbon
0,0
1,6540
2,12443
3,17800
4,22682
5,27149
6,31253
7,35036
8,38534
9,41778
10,44796
11,47609
12,50238
13,52700
14,55012
15,57185
16,59233
17,61166
18,62993
19,64723
20,66363
21,67920
22,69401
23,70810
24,72153
25,73434
26,74658
27,75828
28,76948
29,78021
30,79049
31,80037
32,80985
33,81896
34,82773
35,83616
36,84429
37,85213
38,85969
39,86699
40,87404
41,88085
42,88744
43,89381
44,89998
45,90595
46,91174
47,91736
48,92280
49,92808
50,93321
51,93820
52,94304
53,94774
54,95232
55,95677
56,96110
57,96532
58,96943
59,97343
60,97733
61,98113
62,98484
63,98845
64,99198
65,99542
66,99879
67,100207
68,100528
69,100841
70,101148
71,101447
72,101740
73,102027
74,102307
75,102582
76,102850
77,103113
78,103371
79,103623
80,103870
81,104112
82,104350
83,104582
84,104810
85,105034
86,105254
87,105469
88,105680
89,105887
90,106091
91,106291
92,106487
93,106680
94,106869
95,107055
96,107237
97,107417
98,107593
99,107767
100,107937
101,108105
102,108270
103,108432
104,108591
105,108748
106,108903
107,109054
108,109204
109,109351
110,109496
111,109639
112,109779
113,109918
114,110054
115,110188
116,110320
117,110451
118,110579
119,110705
120,110830
121,110953
122,111074
123,111193
124,111311
125,111427
126,111542
127,111655
128,111766
129,111876
130,111984
131,112091
132,112197
133,112301
134,112404
135,112505
136,112605
137,112704
138,112802
139,112898
140,112993
141,113087
142,113180
143,113272
144,113362
145,113451
146,113540
147,113627
148,113713
149,113798
150,113882
151,113966
152,114048
153,114129
154,114209
155,114289
156,114367
157,114444
158,114521
159,114597
160,114672
161,114746
162,114819
163,114892
164,114963
165,115034
166,115105
167,115174
168,115243
169,115310
170,115378
171,115444
172,115510
173,115575
174,115639
175,115703
176,115766
177,115829
178,115891
179,115952
180,116012
181,116072
182,116132
183,116191
184,116249
185,116306
186,116363
187,116420
188,116476
189,116531
190,116586
191,116641
192,116694
193,116748
194,116801
195,116853
196,116905
197,116956
198,117007
199,117058
200,117108
201,117157
202,117206
203,117255
204,117303
205,117351
206,117398
207,117445
208,117491
209,117538
210,117583
211,117629
212,117673
213,117718
214,117762
215,117806
216,117849
217,117892
218,117935
219,117977
220,118019
221,118061
222,118102
223,118143
224,118183
225,118224
226,118264
227,118303
228,118342
229,118381
230,118420
231,118458
232,118496
233,118534
234,118571
235,118608
236,118645
237,118682
238,118718
239,118754
240,118790
241,118825
242,118860
243,118895
244,118930
245,118964
246,118998
247,119032
248,119065
249,119099
250,119132
251,119165
252,119197
253,119230
254,119262
255,119294
256,119325
257,119357
258,119388
259,119419
260,119450
261,119480
262,119510
263,119540
264,119570
265,119600
266,119629
267,119659
268,119688
269,119717
270,119745
271,119774
272,119802
273,119830
274,119858
275,119885
276,119913
277,119940
278,119967
279,119994
280,120021
281,120048
282,120074
283,120100
284,120126
285,120152
286,120178
287,120203
288,120229
289,120254
290,120279
291,120304
292,120329
293,120353
294,120378
295,120402
296,120426
297,120450
298,120474
299,120497
300,120521
