"","code","plot","fixer","Number_trees","wood_density","pft","X","Genus","Species","Family","Binomial"
"1","ACALDI",45,0,33,0.5,3,1,"Acalypha","diversifolia","Euphorbiaceae","Acalypha diversifolia"
"2","ACALDI",48,0,32,0.5,3,1,"Acalypha","diversifolia","Euphorbiaceae","Acalypha diversifolia"
"3","ADENFL",48,0,75,0.58,3,2,"Adenaria","floribunda","Lythraceae","Adenaria floribunda"
"4","ADENFL",1,0,10,0.58,3,2,"Adenaria","floribunda","Lythraceae","Adenaria floribunda"
"5","ADENFL",45,0,243,0.58,3,2,"Adenaria","floribunda","Lythraceae","Adenaria floribunda"
"6","ADENFL",47,0,1,0.58,3,2,"Adenaria","floribunda","Lythraceae","Adenaria floribunda"
"7","AEGIPA",48,0,2,0.66,3,3,"Aegiphila","panamensis","Verbenaceae","Aegiphila panamensis"
"8","AEGIPA",45,0,8,0.66,3,3,"Aegiphila","panamensis","Verbenaceae","Aegiphila panamensis"
"9","ALCHCO",1,0,2,0.3,2,4,"Alchornea","costaricensis","Euphorbiaceae","Alchornea costaricensis"
"10","ALCHCO",47,0,6,0.3,2,4,"Alchornea","costaricensis","Euphorbiaceae","Alchornea costaricensis"
"11","ALCHCO",48,0,9,0.3,2,4,"Alchornea","costaricensis","Euphorbiaceae","Alchornea costaricensis"
"12","ALCHCO",45,0,2,0.3,2,4,"Alchornea","costaricensis","Euphorbiaceae","Alchornea costaricensis"
"13","ALCHLA",1,0,2,0.43,2,5,"Alchornea","latifolia","Euphorbiaceae","Alchornea latifolia"
"14","ALCHLA",47,0,8,0.43,2,5,"Alchornea","latifolia","Euphorbiaceae","Alchornea latifolia"
"15","AMAICO",47,0,2,0.62,3,6,"Amaioua","corymbosa","Rubiaceae","Amaioua corymbosa"
"16","ANACOC",48,0,8,0.45,2,7,"Anacardium","occidentale","Anacardiaceae","Anacardium occidentale"
"17","ANDIIN",1,1,3,0.68,30,8,"Andira","inermis","Fabaceae:Papil.","Andira inermis"
"18","ANDIIN",45,1,11,0.68,30,8,"Andira","inermis","Fabaceae:Papil.","Andira inermis"
"19","ANDIIN",47,1,3,0.68,30,8,"Andira","inermis","Fabaceae:Papil.","Andira inermis"
"20","ANDIIN",48,1,2,0.68,30,8,"Andira","inermis","Fabaceae:Papil.","Andira inermis"
"21","ANNOSP",45,0,12,0.56,3,9,"Annona","spraguei","Annonaceae","Annona spraguei"
"22","ANNOSP",48,0,11,0.56,3,9,"Annona","spraguei","Annonaceae","Annona spraguei"
"23","ANNOSP",47,0,3,0.56,3,9,"Annona","spraguei","Annonaceae","Annona spraguei"
"24","APEITI",47,0,1,0.2,2,10,"Apeiba","tibourbou","Tiliaceae","Apeiba tibourbou"
"25","APEITI",48,0,4,0.2,2,10,"Apeiba","tibourbou","Tiliaceae","Apeiba tibourbou"
"26","APEITI",45,0,2,0.2,2,10,"Apeiba","tibourbou","Tiliaceae","Apeiba tibourbou"
"27","BACCTR",45,0,341,0.4,2,NA,NA,NA,NA,NA
"28","BACCTR",47,0,62,0.4,2,NA,NA,NA,NA,NA
"29","BACCTR",48,0,76,0.4,2,NA,NA,NA,NA,NA
"30","BANAGU",47,0,5,0.61,3,12,"Banara","guianensis","Flacourtiaceae","Banara guianensis"
"31","BANAGU",1,0,2,0.61,3,12,"Banara","guianensis","Flacourtiaceae","Banara guianensis"
"32","BANAGU",48,0,49,0.61,3,12,"Banara","guianensis","Flacourtiaceae","Banara guianensis"
"33","BANAGU",45,0,22,0.61,3,12,"Banara","guianensis","Flacourtiaceae","Banara guianensis"
"34","BYRSCR",47,0,354,0.58,3,13,"Byrsonima","crassifolia","Malpighiaceae","Byrsonima crassifolia"
"35","BYRSCR",45,0,76,0.58,3,13,"Byrsonima","crassifolia","Malpighiaceae","Byrsonima crassifolia"
"36","BYRSCR",48,0,122,0.58,3,13,"Byrsonima","crassifolia","Malpighiaceae","Byrsonima crassifolia"
"37","BYRSCR",1,0,62,0.58,3,13,"Byrsonima","crassifolia","Malpighiaceae","Byrsonima crassifolia"
"38","CAL1WA",48,0,28,0.8,4,14,"Calycolpus","warszewiczianus","Myrtaceae","Calycolpus warszewiczianus"
"39","CASEAR",48,0,6,0.56,3,15,"Casearia","arborea","Flacourtiaceae","Casearia arborea"
"40","CASECO",48,0,38,0.63,3,16,"Casearia","commersoniana","Flacourtiaceae","Casearia commersoniana"
"41","CASECO",45,0,5,0.63,3,16,"Casearia","commersoniana","Flacourtiaceae","Casearia commersoniana"
"42","CASESY",45,0,13,0.66,3,17,"Casearia","sylvestris","Flacourtiaceae","Casearia sylvestris"
"43","CASESY",1,0,7,0.66,3,17,"Casearia","sylvestris","Flacourtiaceae","Casearia sylvestris"
"44","CASESY",48,0,90,0.66,3,17,"Casearia","sylvestris","Flacourtiaceae","Casearia sylvestris"
"45","CASESY",47,0,21,0.66,3,17,"Casearia","sylvestris","Flacourtiaceae","Casearia sylvestris"
"46","CECRIN",48,0,2,0.55,3,18,"Cecropia","insignis","Cecropiaceae","Cecropia insignis"
"47","CESPMA",47,0,2,0.59,3,19,"Cespedesia","macrophylla","Ochnaceae","Cespedesia macrophylla"
"48","CESPMA",1,0,6,0.59,3,19,"Cespedesia","macrophylla","Ochnaceae","Cespedesia macrophylla"
"49","CESTME",48,0,2,0.5,3,20,"Cestrum","megalophyllum","Solanaceae","Cestrum megalophyllum"
"50","CHR2AR",47,0,5,0.78,4,21,"Chrysophyllum","argenteum","Sapotaceae","Chrysophyllum argenteum"
"51","CHR2AR",1,0,1,0.78,4,21,"Chrysophyllum","argenteum","Sapotaceae","Chrysophyllum argenteum"
"52","CHR2AR",45,0,4,0.78,4,21,"Chrysophyllum","argenteum","Sapotaceae","Chrysophyllum argenteum"
"53","CHR4OD",45,0,14,0.4,2,NA,NA,NA,NA,NA
"54","CHR4OD",47,0,2,0.4,2,NA,NA,NA,NA,NA
"55","CITRAU",45,0,61,0.74,4,23,"Citrus","aurantium","Rutaceae",NA
"56","CITRAU",47,0,4,0.74,4,23,"Citrus","aurantium","Rutaceae",NA
"57","CITRAU",48,0,41,0.74,4,23,"Citrus","aurantium","Rutaceae",NA
"58","CITRLI",1,0,2,0.74,4,24,"Citrus","limon","Rutaceae",NA
"59","CLIBSU",45,0,4,0.64,3,25,"Clibadium","surinamense","Asteraceae",NA
"60","CLIBSU",48,0,4,0.64,3,25,"Clibadium","surinamense","Asteraceae",NA
"61","CLIDDE",48,0,2,0.67,3,26,"Clidemia","dentata","Melastomataceae","Clidemia dentata"
"62","CLIDDE",47,0,3,0.67,3,26,"Clidemia","dentata","Melastomataceae","Clidemia dentata"
"63","CLIDOC",47,0,2,0.67,3,27,"Clidemia","octona","Melastomataceae","Clidemia octona"
"64","COCCMA",48,0,9,0.69,3,28,"Coccoloba","manzinellensis","Polygonaceae","Coccoloba manzinellensis"
"65","COCCMA",47,0,36,0.69,3,28,"Coccoloba","manzinellensis","Polygonaceae","Coccoloba manzinellensis"
"66","COCHVI",45,0,9,0.22,2,29,"Cochlospermum","vitifolium","Cochlospermaceae","Cochlospermum vitifolium"
"67","COCHVI",48,0,6,0.22,2,29,"Cochlospermum","vitifolium","Cochlospermaceae","Cochlospermum vitifolium"
"68","COLUGL",48,0,1,0.74,4,30,"Colubrina","glandulosa","Rhamnaceae","Colubrina glandulosa"
"69","COLUGL",47,0,1,0.74,4,30,"Colubrina","glandulosa","Rhamnaceae","Colubrina glandulosa"
"70","CONOSP",45,0,2,0.67,3,31,"Conostegia","speciosa","Melastomataceae","Conostegia speciosa"
"71","CONOSP",47,0,376,0.67,3,31,"Conostegia","speciosa","Melastomataceae","Conostegia speciosa"
"72","CONOSP",48,0,26,0.67,3,31,"Conostegia","speciosa","Melastomataceae","Conostegia speciosa"
"73","CONOSP",1,0,15,0.67,3,31,"Conostegia","speciosa","Melastomataceae","Conostegia speciosa"
"74","CONOXA",1,0,2747,0.67,3,32,"Conostegia","xalapensis","Melastomataceae","Conostegia xalapensis"
"75","CONOXA",47,0,271,0.67,3,32,"Conostegia","xalapensis","Melastomataceae","Conostegia xalapensis"
"76","CONOXA",45,0,69,0.67,3,32,"Conostegia","xalapensis","Melastomataceae","Conostegia xalapensis"
"77","CONOXA",48,0,22,0.67,3,32,"Conostegia","xalapensis","Melastomataceae","Conostegia xalapensis"
"78","CORDAL",48,0,1,0.46,2,33,"Cordia","alliodora","Boraginaceae","Cordia alliodora"
"79","CORDAL",45,0,4,0.46,2,33,"Cordia","alliodora","Boraginaceae","Cordia alliodora"
"80","CORDAL",47,0,1,0.46,2,33,"Cordia","alliodora","Boraginaceae","Cordia alliodora"
"81","CORDBI",48,0,1,0.37,2,34,"Cordia","bicolor","Boraginaceae","Cordia bicolor"
"82","CORDBI",45,0,9,0.37,2,34,"Cordia","bicolor","Boraginaceae","Cordia bicolor"
"83","CORDBI",1,0,1,0.37,2,34,"Cordia","bicolor","Boraginaceae","Cordia bicolor"
"84","CORDCU",47,0,6,0.51,3,35,"Cordia","curassavica","Boraginaceae","Cordia curassavica"
"85","CROTBI",45,0,3,0.51,3,36,"Croton","billbergianus","Euphorbiaceae","Croton billbergianus"
"86","CUPACI",45,0,18,0.5,3,37,"Cupania","cinerea","Sapindaceae","Cupania cinerea"
"87","CUPACI",47,0,7,0.5,3,37,"Cupania","cinerea","Sapindaceae","Cupania cinerea"
"88","CUPACI",1,0,1,0.5,3,37,"Cupania","cinerea","Sapindaceae","Cupania cinerea"
"89","CUPACI",48,0,12,0.5,3,37,"Cupania","cinerea","Sapindaceae","Cupania cinerea"
"90","CUPARU",48,0,13,0.61,3,38,"Cupania","rufescens","Sapindaceae","Cupania rufescens"
"91","CUPASC",1,0,12,0.63,3,39,"Cupania","scrobiculata","Sapindaceae","Cupania scrobiculata"
"92","CUPASC",48,0,4,0.63,3,39,"Cupania","scrobiculata","Sapindaceae","Cupania scrobiculata"
"93","CURAAM",1,0,2,0.65,3,40,"Curatella","americana","Dilleniaceae","Curatella americana"
"94","ERY1CO",48,1,4,0.29,30,41,"Erythrina","costaricensis","Fabaceae:Papil.","Erythrina costaricensis"
"95","ERY1CO",45,1,5,0.29,30,41,"Erythrina","costaricensis","Fabaceae:Papil.","Erythrina costaricensis"
"96","FICUBR",48,0,3,0.41,2,42,"Ficus","brevibracteata","Moraceae","Ficus brevibracteata"
"97","FICUIN",47,0,3,0.38,2,43,"Ficus","insipida","Moraceae","Ficus insipida"
"98","FICUIN",45,0,4,0.38,2,43,"Ficus","insipida","Moraceae","Ficus insipida"
"99","GMELAR",45,0,1,0.43,2,44,"Gmelina","arborea","Verbenaceae","Gmelina arborea"
"100","GUATDU",1,0,1,0.45,2,45,"Guatteria","dumetorum","Annonaceae","Guatteria dumetorum"
"101","GUETFO",48,0,3,0.62,3,46,"Guettarda","foliacea","Rubiaceae","Guettarda foliacea"
"102","HAMEPA",45,0,11,0.5,3,47,"Hamelia","patens","Rubiaceae","Hamelia patens"
"103","HENRFA",48,0,2,0.48,2,48,"Henriettella","fascicularis","Melastomataceae","Henriettella fascicularis"
"104","HIRTRA",48,0,10,0.78,4,49,"Hirtella","racemosa","Chrysobalanaceae","Hirtella racemosa"
"105","HYERAL",1,0,1,0.51,3,50,"Hieronyma","alchorneoides","Euphorbiaceae","Hieronyma alchorneoides"
"106","INGACO",1,1,10,0.58,30,51,"Inga","cocleensis","Fabaceae:Mimos.","Inga cocleensis"
"107","INGACO",45,1,19,0.58,30,51,"Inga","cocleensis","Fabaceae:Mimos.","Inga cocleensis"
"108","INGACO",47,1,4,0.58,30,51,"Inga","cocleensis","Fabaceae:Mimos.","Inga cocleensis"
"109","INGACO",48,1,13,0.58,30,51,"Inga","cocleensis","Fabaceae:Mimos.","Inga cocleensis"
"110","INGAGO",48,1,2,0.56,30,52,"Inga","goldmanii","Fabaceae:Mimos.","Inga goldmanii"
"111","INGAPE",45,1,2,0.61,30,53,"Inga","pezizifera","Fabaceae:Mimos.","Inga pezizifera"
"112","INGAQU",48,1,4,0.64,30,54,"Inga","nobilis","Fabaceae:Mimos.","Inga nobilis"
"113","INGATH",48,1,9,0.58,30,55,"Inga","thibaudiana","Fabaceae:Mimos.","Inga thibaudiana"
"114","INGATH",1,1,16,0.58,30,55,"Inga","thibaudiana","Fabaceae:Mimos.","Inga thibaudiana"
"115","INGATH",45,1,2,0.58,30,55,"Inga","thibaudiana","Fabaceae:Mimos.","Inga thibaudiana"
"116","ISERHA",45,0,2,0.56,3,56,"Isertia","haenkeana","Rubiaceae","Isertia haenkeana"
"117","ISERHA",47,0,18,0.56,3,56,"Isertia","haenkeana","Rubiaceae","Isertia haenkeana"
"118","ISERHA",48,0,18,0.56,3,56,"Isertia","haenkeana","Rubiaceae","Isertia haenkeana"
"119","JAC1CO",47,0,2,0.37,2,57,"Jacaranda","copaia","Bignoniaceae","Jacaranda copaia"
"120","JAC1CO",48,0,2,0.37,2,57,"Jacaranda","copaia","Bignoniaceae","Jacaranda copaia"
"121","LACIAG",45,0,2,0.56,3,58,"Lacistema","aggregatum","Flacourtiaceae","Lacistema aggregatum"
"122","LACIAG",48,0,6,0.56,3,58,"Lacistema","aggregatum","Flacourtiaceae","Lacistema aggregatum"
"123","LACIAG",47,0,2,0.56,3,58,"Lacistema","aggregatum","Flacourtiaceae","Lacistema aggregatum"
"124","LACIAG",1,0,8,0.56,3,58,"Lacistema","aggregatum","Flacourtiaceae","Lacistema aggregatum"
"125","LANTCA",45,0,79,0.63,3,59,"Lantana","camara","Verbenaceae","Lantana camara"
"126","LANTCA",1,0,6,0.63,3,59,"Lantana","camara","Verbenaceae","Lantana camara"
"127","LANTCA",47,0,32,0.63,3,59,"Lantana","camara","Verbenaceae","Lantana camara"
"128","LAXOTE",1,0,3,0.57,3,60,"Laxoplumeria","tessmannii","Apocynaceae",NA
"129","LONCLA",45,1,10,0.74,30,61,"Lonchocarpus","latifolius","Fabaceae:Papil.","Lonchocarpus latifolius"
"130","LONCLA",47,1,3,0.74,30,61,"Lonchocarpus","latifolius","Fabaceae:Papil.","Lonchocarpus latifolius"
"131","LOZAPI",47,0,2,0.4,2,62,"Lozania","pittieri","Flacourtiaceae","Lozania pittieri"
"132","LUEHSE",47,0,5,0.57,3,63,"Luehea","seemannii","Tiliaceae","Luehea seemannii"
"133","LUEHSE",48,0,6,0.57,3,63,"Luehea","seemannii","Tiliaceae","Luehea seemannii"
"134","LUEHSE",45,0,4,0.57,3,63,"Luehea","seemannii","Tiliaceae","Luehea seemannii"
"135","MABEOC",45,0,2,0.62,3,64,"Mabea","occidentalis","Euphorbiaceae","Mabea occidentalis"
"136","MACRGL",45,0,43,0.45,2,65,"Macrocnemum","roseum","Rubiaceae","Macrocnemum roseum"
"137","MANGIN",48,0,7,0.55,3,66,"Mangifera","indica","Anacardiaceae","Mangifera indica"
"138","MARGNO",48,0,6,0.62,3,67,"Margaritaria","nobilis","Euphorbiaceae","Margaritaria nobilis"
"139","MATAAP",48,0,2,0.75,4,68,"Matayba","apetala","Sapindaceae","Matayba apetala"
"140","MICOAF",47,0,12,0.57,3,69,"Miconia","affinis","Melastomataceae","Miconia affinis"
"141","MICOAF",1,0,9,0.57,3,69,"Miconia","affinis","Melastomataceae","Miconia affinis"
"142","MICOAF",48,0,4,0.57,3,69,"Miconia","affinis","Melastomataceae","Miconia affinis"
"143","MICOAF",45,0,2,0.57,3,69,"Miconia","affinis","Melastomataceae","Miconia affinis"
"144","MICOAR",48,0,73,0.7,4,70,"Miconia","argentea","Melastomataceae","Miconia argentea"
"145","MICOAR",47,0,67,0.7,4,70,"Miconia","argentea","Melastomataceae","Miconia argentea"
"146","MICOAR",1,0,83,0.7,4,70,"Miconia","argentea","Melastomataceae","Miconia argentea"
"147","MICOAR",45,0,19,0.7,4,70,"Miconia","argentea","Melastomataceae","Miconia argentea"
"148","MICOBO",1,0,55,0.62,3,71,"Miconia","minutiflora","Melastomataceae","Miconia minutiflora"
"149","MICOBO",48,0,24,0.62,3,71,"Miconia","minutiflora","Melastomataceae","Miconia minutiflora"
"150","MICOIM",48,0,8,0.62,3,72,"Miconia","impetiolaris","Melastomataceae","Miconia impetiolaris"
"151","MICOLA",45,0,8,0.62,3,73,"Miconia","lacera","Melastomataceae","Miconia lacera"
"152","MICOLA",47,0,2,0.62,3,73,"Miconia","lacera","Melastomataceae","Miconia lacera"
"153","MICOPR",48,0,2,0.7,4,74,"Miconia","prasina","Melastomataceae","Miconia prasina"
"154","MICOPR",1,0,11,0.7,4,74,"Miconia","prasina","Melastomataceae","Miconia prasina"
"155","MYR2FL",48,0,12,0.78,4,75,"Myrciaria","floribunda","Myrtaceae","Myrciaria floribunda"
"156","MYR2FL",1,0,6,0.78,4,75,"Myrciaria","floribunda","Myrtaceae","Myrciaria floribunda"
"157","MYRILO",48,0,14,0.34,2,76,"Myriocarpa","longipes","Urticaceae","Myriocarpa longipes"
"158","MYRILO",45,0,3,0.34,2,76,"Myriocarpa","longipes","Urticaceae","Myriocarpa longipes"
"159","NECTPU",1,0,2,0.43,2,77,"Nectandra","purpurea","Lauraceae","Nectandra purpurea"
"160","OCHRPY",45,0,4,0.16,2,78,"Ochroma","pyramidale","Bombacaceae","Ochroma pyramidale"
"161","OCHRPY",48,0,2,0.16,2,78,"Ochroma","pyramidale","Bombacaceae","Ochroma pyramidale"
"162","OCOTDE",48,0,3,0.53,3,79,"Ocotea","dendrodaphne","Lauraceae","Ocotea dendrodaphne"
"163","PALIGU",47,0,2,0.32,2,80,"Palicourea","guianensis","Rubiaceae","Palicourea guianensis"
"164","PALIGU",45,0,4,0.32,2,80,"Palicourea","guianensis","Rubiaceae","Palicourea guianensis"
"165","PALIGU",48,0,18,0.32,2,80,"Palicourea","guianensis","Rubiaceae","Palicourea guianensis"
"166","PALIGU",1,0,2,0.32,2,80,"Palicourea","guianensis","Rubiaceae","Palicourea guianensis"
"167","PENTMA",48,0,2,0.45,2,81,"Pentagonia","macrophylla","Rubiaceae","Pentagonia macrophylla"
"168","PENTMA",1,0,2,0.45,2,81,"Pentagonia","macrophylla","Rubiaceae","Pentagonia macrophylla"
"169","PERAAR",1,0,7,0.73,4,82,"Pera","arborea","Euphorbiaceae","Pera arborea"
"170","PERSAM",48,0,1,0.55,3,83,"Persea","americana","Lauraceae","Persea americana"
